2.778	0.5201
2.765	0.5124
2.758	0.5051
2.756	0.4984
2.573	0.4940
2.568	0.4877
2.563	0.4818
2.526	0.4810
2.523	0.4755
2.518	0.4703
2.512	0.4655
2.509	0.4609
2.503	0.4566
2.801	0.4634
2.793	0.4594
2.790	0.4556
2.788	0.4520
2.537	0.4467
2.534	0.4433
2.736	0.4472
2.732	0.4440
2.731	0.4410
2.730	0.4382
2.729	0.4356
2.727	0.4331
2.586	0.4298
2.584	0.4275
2.581	0.4252
2.577	0.4231
2.509	0.4214
2.508	0.4194
2.506	0.4175
2.506	0.4157
2.505	0.4141
2.504	0.4125
2.504	0.4110
2.502	0.4095
2.494	0.4098
2.492	0.4085
2.491	0.4072
2.490	0.4060
2.488	0.4049
2.489	0.4038
2.637	0.4070
2.636	0.4060
2.636	0.4050
2.635	0.4041
2.635	0.4033
2.635	0.4024
