0	0.4731	0.9734	2.661
1	0.4744	0.9733	2.665
2	0.4794	0.9708	2.920
3	0.4763	0.9722	2.775
4	0.4758	0.9728	2.718
5	0.4750	0.9727	2.730
6	0.4763	0.9718	2.818
7	0.4615	0.9792	2.076
8	0.4756	0.9725	2.752
9	0.4724	0.9736	2.640
10	0.4761	0.9727	2.730
11	0.4751	0.9727	2.735
12	0.4756	0.9724	2.763
13	0.4722	0.9738	2.620
14	0.4677	0.9756	2.442
15	0.4757	0.9725	2.752
16	0.4747	0.9727	2.729
17	0.4757	0.9724	2.757
18	0.4693	0.9750	2.502
19	0.4735	0.9734	2.655
20	0.4717	0.9737	2.626
21	0.4760	0.9720	2.803
22	0.4785	0.9715	2.848
23	0.4771	0.9719	2.806
24	0.4731	0.9737	2.632
25	0.4757	0.9723	2.765
26	0.4709	0.9742	2.582
27	0.4705	0.9745	2.550
28	0.4758	0.9725	2.748
29	0.4751	0.9725	2.755
30	0.4742	0.9731	2.689
31	0.4615	0.9788	2.118
32	0.4756	0.9727	2.732
33	0.4783	0.9710	2.896
34	0.4764	0.9720	2.799
35	0.4733	0.9736	2.644
36	0.4767	0.9724	2.764
37	0.4754	0.9726	2.739
38	0.4730	0.9733	2.666
39	0.4743	0.9733	2.665
40	0.4749	0.9730	2.704
41	0.4747	0.9730	2.698
42	0.4768	0.9717	2.828
43	0.4705	0.9745	2.553
44	0.4751	0.9727	2.732
45	0.4713	0.9747	2.533
46	0.4723	0.9742	2.583
47	0.4755	0.9723	2.768
48	0.4764	0.9724	2.757
49	0.4713	0.9742	2.581
50	0.4764	0.9727	2.734
51	0.4706	0.9744	2.563
52	0.4708	0.9742	2.582
53	0.4765	0.9724	2.757
54	0.4742	0.9731	2.689
55	0.4615	0.9789	2.112
56	0.4755	0.9725	2.754
57	0.4760	0.9727	2.734
58	0.4614	0.9788	2.118
59	0.4613	0.9792	2.076
60	0.4766	0.9724	2.760
61	0.4766	0.9719	2.813
62	0.4673	0.9760	2.402
63	0.4720	0.9741	2.587
64	0.4767	0.9721	2.791
65	0.4761	0.9722	2.779
66	0.4746	0.9727	2.730
67	0.4792	0.9708	2.921
68	0.4775	0.9714	2.859
69	0.4773	0.9717	2.830
70	0.4770	0.9719	2.805
71	0.4691	0.9750	2.503
72	0.4716	0.9737	2.628
73	0.4762	0.9724	2.758
74	0.4744	0.9727	2.731
75	0.4772	0.9718	2.821
76	0.4734	0.9735	2.654
77	0.4756	0.9724	2.759
78	0.4769	0.9721	2.792
79	0.4756	0.9725	2.752
80	0.4781	0.9711	2.889
81	0.4627	0.9782	2.183
82	0.4731	0.9735	2.654
83	0.4781	0.9711	2.891
84	0.4710	0.9743	2.566
85	0.4761	0.9718	2.819
86	0.4691	0.9750	2.501
87	0.4595	0.9797	2.032
88	0.4783	0.9712	2.883
89	0.4755	0.9723	2.767
90	0.4675	0.9756	2.443
91	0.4729	0.9737	2.630
92	0.4702	0.9745	2.550
93	0.4722	0.9736	2.644
94	0.4781	0.9713	2.867
95	0.4754	0.9727	2.732
96	0.4788	0.9710	2.897
97	0.4758	0.9720	2.805
98	0.4774	0.9718	2.820
99	0.4725	0.9740	2.601
100	0.4775	0.9716	2.836
101	0.4756	0.9725	2.748
102	0.4746	0.9731	2.686
103	0.4770	0.9718	2.820
104	0.4775	0.9714	2.862
105	0.4652	0.9770	2.296
106	0.4777	0.9720	2.802
107	0.4753	0.9728	2.719
108	0.4719	0.9741	2.585
109	0.4639	0.9782	2.184
110	0.4777	0.9721	2.787
111	0.4747	0.9727	2.728
112	0.4755	0.9728	2.719
113	0.4755	0.9724	2.763
114	0.4782	0.9715	2.849
115	0.4747	0.9725	2.755
116	0.4769	0.9720	2.805
117	0.4768	0.9720	2.799
118	0.4720	0.9738	2.620
119	0.4764	0.9722	2.783
120	0.4749	0.9731	2.693
121	0.4754	0.9725	2.749
122	0.4745	0.9729	2.711
123	0.4749	0.9724	2.756
124	0.4771	0.9719	2.807
125	0.4737	0.9731	2.694
126	0.4744	0.9728	2.715
127	0.4765	0.9721	2.794
128	0.4731	0.9735	2.646
129	0.4611	0.9791	2.091
130	0.4695	0.9752	2.482
131	0.4635	0.9776	2.244
132	0.4722	0.9743	2.575
133	0.4707	0.9748	2.516
134	0.4761	0.9720	2.798
135	0.4751	0.9727	2.726
136	0.4736	0.9731	2.692
137	0.4752	0.9728	2.721
138	0.4768	0.9721	2.792
139	0.4768	0.9719	2.805
140	0.4776	0.9721	2.789
141	0.4755	0.9726	2.744
142	0.4610	0.9791	2.091
143	0.4718	0.9741	2.585
144	0.4753	0.9724	2.763
145	0.4773	0.9715	2.853
146	0.4744	0.9730	2.697
147	0.4753	0.9725	2.752
148	0.4780	0.9711	2.886
149	0.4779	0.9711	2.888
150	0.4751	0.9728	2.724
151	0.4764	0.9724	2.757
152	0.4771	0.9720	2.804
153	0.4612	0.9788	2.117
154	0.4757	0.9720	2.802
155	0.4718	0.9741	2.585
156	0.4763	0.9722	2.783
157	0.4728	0.9734	2.660
158	0.4761	0.9724	2.756
159	0.4723	0.9740	2.596
160	0.4757	0.9727	2.729
161	0.4727	0.9738	2.624
162	0.4714	0.9738	2.623
163	0.4754	0.9725	2.749
164	0.4729	0.9734	2.655
165	0.4748	0.9731	2.694
166	0.4764	0.9721	2.794
167	0.4764	0.9724	2.756
168	0.4754	0.9724	2.756
169	0.4773	0.9718	2.821
170	0.4768	0.9720	2.796
171	0.4771	0.9717	2.828
172	0.4613	0.9789	2.114
173	0.4709	0.9748	2.520
174	0.4771	0.9719	2.813
175	0.4708	0.9743	2.565
176	0.4689	0.9750	2.496
177	0.4780	0.9715	2.846
178	0.4764	0.9718	2.823
179	0.4719	0.9738	2.617
180	0.4768	0.9719	2.809
181	0.4775	0.9721	2.794
182	0.4746	0.9727	2.732
183	0.4781	0.9712	2.882
184	0.4747	0.9727	2.734
185	0.4720	0.9743	2.566
186	0.4753	0.9725	2.753
187	0.4729	0.9735	2.647
188	0.4752	0.9725	2.753
189	0.4760	0.9727	2.735
190	0.4735	0.9731	2.689
191	0.4745	0.9724	2.756
192	0.4739	0.9731	2.689
193	0.4759	0.9721	2.792
194	0.4761	0.9725	2.752
195	0.4689	0.9750	2.498
196	0.4611	0.9792	2.077
197	0.4741	0.9727	2.735
198	0.4693	0.9752	2.478
199	0.4773	0.9714	2.862
200	0.4753	0.9728	2.717
201	0.4731	0.9735	2.655
202	0.4745	0.9730	2.698
203	0.4633	0.9775	2.247
204	0.4779	0.9714	2.860
205	0.4769	0.9718	2.819
206	0.4747	0.9724	2.757
207	0.4739	0.9734	2.664
208	0.4752	0.9727	2.730
209	0.4720	0.9736	2.640
210	0.4763	0.9719	2.807
211	0.4637	0.9782	2.184
212	0.4743	0.9728	2.715
213	0.4719	0.9742	2.584
214	0.4672	0.9756	2.442
215	0.4734	0.9731	2.692
216	0.4701	0.9744	2.557
217	0.4649	0.9770	2.297
218	0.4591	0.9797	2.031
219	0.4704	0.9748	2.516
220	0.4749	0.9725	2.747
221	0.4702	0.9744	2.563
222	0.4669	0.9760	2.402
223	0.4758	0.9718	2.816
224	0.4785	0.9710	2.902
225	0.4743	0.9730	2.698
226	0.4752	0.9723	2.765
227	0.4704	0.9742	2.582
228	0.4757	0.9722	2.777
229	0.4759	0.9724	2.760
230	0.4742	0.9728	2.717
231	0.4788	0.9708	2.922
232	0.4742	0.9727	2.732
233	0.4699	0.9745	2.550
234	0.4765	0.9720	2.804
235	0.4763	0.9721	2.794
236	0.4708	0.9742	2.582
237	0.4622	0.9782	2.181
238	0.4767	0.9717	2.828
239	0.4703	0.9742	2.582
240	0.4762	0.9721	2.787
241	0.4763	0.9721	2.793
242	0.4740	0.9727	2.730
243	0.4728	0.9736	2.644
244	0.4749	0.9726	2.743
245	0.4668	0.9760	2.402
246	0.4610	0.9788	2.116
247	0.4725	0.9733	2.667
248	0.4742	0.9731	2.694
249	0.4774	0.9720	2.799
250	0.4752	0.9728	2.722
251	0.4784	0.9710	2.898
252	0.4755	0.9726	2.739
253	0.4744	0.9724	2.758
254	0.4591	0.9797	2.032
255	0.4745	0.9724	2.758
256	0.4699	0.9744	2.559
257	0.4746	0.9730	2.701
258	0.4686	0.9749	2.505
259	0.4766	0.9719	2.812
260	0.4762	0.9720	2.800
261	0.4758	0.9724	2.759
262	0.4609	0.9788	2.116
263	0.4687	0.9750	2.499
264	0.4751	0.9724	2.763
265	0.4768	0.9718	2.822
266	0.4741	0.9728	2.716
267	0.4752	0.9725	2.748
268	0.4765	0.9721	2.794
269	0.4771	0.9714	2.860
270	0.4741	0.9731	2.685
271	0.4777	0.9711	2.891
272	0.4750	0.9727	2.733
273	0.4715	0.9741	2.587
274	0.4745	0.9727	2.732
