0	0.4977	0.9725	2.752
1	0.4986	0.9723	2.772
2	0.4956	0.9738	2.624
3	0.4968	0.9729	2.708
4	0.5013	0.9712	2.879
5	0.4977	0.9728	2.722
6	0.4984	0.9725	2.747
7	0.4996	0.9722	2.780
8	0.5004	0.9717	2.827
9	0.4993	0.9719	2.810
10	0.4990	0.9718	2.817
11	0.4947	0.9736	2.637
12	0.4987	0.9723	2.773
13	0.4992	0.9720	2.803
14	0.5020	0.9708	2.918
15	0.4927	0.9750	2.497
16	0.4985	0.9723	2.774
17	0.4952	0.9740	2.599
18	0.4939	0.9746	2.545
19	0.4950	0.9740	2.600
20	0.4986	0.9722	2.777
21	0.4980	0.9729	2.709
22	0.4943	0.9740	2.600
23	0.4824	0.9795	2.047
24	0.4992	0.9717	2.825
25	0.4983	0.9724	2.765
26	0.4953	0.9740	2.600
27	0.4972	0.9731	2.692
28	0.4961	0.9733	2.669
29	0.4997	0.9721	2.793
30	0.4905	0.9754	2.459
31	0.5007	0.9718	2.822
32	0.4841	0.9790	2.100
33	0.5005	0.9712	2.881
34	0.4940	0.9742	2.580
35	0.4950	0.9740	2.601
36	0.4974	0.9725	2.753
37	0.4997	0.9719	2.813
38	0.4996	0.9719	2.813
39	0.4842	0.9791	2.087
40	0.4986	0.9725	2.750
41	0.4921	0.9748	2.518
42	0.4993	0.9723	2.770
43	0.4996	0.9716	2.839
44	0.4952	0.9734	2.660
45	0.5011	0.9709	2.914
46	0.4994	0.9720	2.800
47	0.4968	0.9729	2.712
48	0.5005	0.9715	2.855
49	0.4985	0.9725	2.751
50	0.4984	0.9722	2.777
51	0.5013	0.9710	2.903
52	0.5011	0.9709	2.910
53	0.5021	0.9707	2.935
54	0.4902	0.9758	2.418
55	0.5012	0.9715	2.853
56	0.4979	0.9722	2.776
57	0.4842	0.9787	2.133
58	0.4941	0.9745	2.552
59	0.4989	0.9725	2.750
60	0.4985	0.9725	2.754
61	0.4933	0.9742	2.575
62	0.4976	0.9726	2.736
63	0.4991	0.9723	2.766
64	0.4999	0.9717	2.826
65	0.4958	0.9736	2.645
66	0.5002	0.9715	2.846
67	0.5005	0.9712	2.879
68	0.4932	0.9743	2.570
69	0.5003	0.9716	2.840
70	0.4958	0.9732	2.683
71	0.5007	0.9719	2.815
72	0.4975	0.9727	2.730
73	0.4998	0.9719	2.810
74	0.4979	0.9724	2.765
75	0.4970	0.9729	2.707
76	0.4992	0.9724	2.761
77	0.4920	0.9749	2.511
78	0.4935	0.9742	2.576
79	0.4998	0.9718	2.821
80	0.4977	0.9722	2.775
81	0.4991	0.9726	2.743
82	0.4974	0.9729	2.712
83	0.4868	0.9781	2.194
84	0.4999	0.9716	2.842
85	0.4881	0.9769	2.308
86	0.5001	0.9716	2.844
87	0.4984	0.9722	2.784
88	0.4864	0.9773	2.266
89	0.4842	0.9787	2.130
90	0.4976	0.9728	2.723
91	0.4962	0.9732	2.679
92	0.4983	0.9724	2.760
93	0.4960	0.9734	2.659
94	0.4949	0.9736	2.640
95	0.4995	0.9715	2.852
96	0.4997	0.9718	2.820
97	0.4936	0.9745	2.546
98	0.5010	0.9709	2.913
99	0.4938	0.9742	2.580
100	0.4978	0.9723	2.774
101	0.4984	0.9722	2.782
102	0.5001	0.9716	2.838
103	0.4940	0.9740	2.604
104	0.5000	0.9717	2.827
105	0.4997	0.9717	2.826
106	0.4840	0.9787	2.134
107	0.4994	0.9718	2.821
108	0.5011	0.9714	2.859
109	0.4957	0.9731	2.687
110	0.5003	0.9715	2.855
111	0.4880	0.9769	2.306
112	0.4984	0.9725	2.750
113	0.4931	0.9742	2.581
114	0.4995	0.9715	2.854
115	0.4994	0.9721	2.791
116	0.4950	0.9734	2.659
117	0.4840	0.9787	2.133
118	0.4990	0.9718	2.816
119	0.4983	0.9722	2.783
120	0.4899	0.9758	2.416
121	0.5005	0.9718	2.815
122	0.5019	0.9706	2.939
123	0.4997	0.9719	2.814
